id,event_id,series_id
3103,6982,3706
2733,6386,2758
1443,3275,2750
2431,5834,3518
2432,5835,3518
2433,5838,3518
2434,5839,3518
2435,5840,3518
2436,5843,3518
2437,5846,3518
31504,59449,17183
2341,5509,3519
8873,17386,4891
17545,34243,8898
1632,3434,3178
1633,3440,3178
1634,3441,3178
1635,3442,3178
1636,3443,3178
1637,3444,3178
1638,3618,3178
1639,3620,3178
575,1602,2521
1101,2239,2757
2234,5206,2768
12751,25108,6392
12765,25116,6392
12773,25162,5313
2440,5915,3585
46,220,2344
45572,85840,19426
18864,37342,9113
18216,35713,8115
22976,46015,9140
31335,59297,17065
5552,11079,4085
26351,51999,13887
2235,5207,2734
2075,4969,3364
30540,57804,15766
44927,84736,25423
46650,89174,26003
48410,93238,5812
46651,89174,26005
2888,6616,3663
122,629,2358
2889,6618,3663
18256,35223,2363
2734,6387,2758
52439,104160,30952
2763,6416,3619
3102,6980,3703
86,668,2358
56513,114597,3266
2895,6630,3665
2765,6418,3619
1102,2240,2756
1700,3743,2752
2573,6104,3600
121,719,2360
149,773,2376
150,777,2377
155,112,2383
154,113,2383
156,795,2384
157,796,2384
3015,6817,3663
3059,6757,3661
3060,6758,3661
3061,6779,3661
3062,6781,3661
3063,6782,3661
3064,6783,3661
3065,6784,3661
3066,6785,3661
3067,6786,3661
3068,6787,3661
3074,6809,3661
3075,6810,3661
3076,6811,3661
3077,6812,3661
3078,6813,3661
2748,4025,3631
3079,6814,3661
2761,6414,3619
2762,6415,3619
3098,6929,3695
3101,6974,2750
3974,8914,3939
2890,6619,3663
2896,6631,3665
3016,6818,3663
3080,6815,3661
3081,6816,3661
3082,6817,3661
3083,6818,3661
2764,6417,3619
3084,6819,3661
3085,6820,3661
5043,10434,4032
2411,5800,2382
1481,3371,2763
1484,3376,2760
1485,3377,2760
3099,6930,3695
1518,3429,3137
1640,3621,3178
1519,3430,3137
1520,3431,3137
1521,3432,3137
1494,3405,3137
1641,3638,3178
1522,3433,3137
1642,3639,3178
1523,3445,3137
1643,3640,3178
1524,3446,3137
1644,3641,3178
1525,3447,3137
1645,3642,3178
1526,3448,3137
1646,3643,3178
1527,3449,3137
1647,3644,3178
1528,3450,3137
1648,3645,3178
1535,3457,3139
1649,3646,3178
1536,3458,3139
1537,3459,3139
1538,3460,3139
1539,3461,3139
1540,3462,3139
1541,3463,3139
1542,3464,3139
1543,3465,3139
1544,3466,3139
2727,6375,3628
1529,3451,3137
45172,85137,25452
2618,6212,3615
2659,6305,3585
12752,25109,6392
12766,25117,6392
12774,25164,6400
12785,25203,6405
1530,3452,3137
5044,10435,4032
3761,8280,3338
4353,9449,3911
5045,10436,4032
4678,9844,3924
5046,10437,4032
587,1624,2527
588,1625,2527
589,1626,2527
590,1627,2527
591,1628,2527
592,1629,2527
593,1630,2527
594,1631,2527
595,1632,2527
596,1633,2527
597,1634,2527
598,1635,2527
599,1636,2527
600,1637,2527
1103,2241,2755
5047,10438,4032
7655,14548,4495
7656,14549,4495
5952,12172,4177
7657,14550,4495
2240,5226,2748
15852,30035,4346
2076,4970,3364
2244,5230,2739
2246,5248,2739
164,813,2388
7658,14551,4495
3282,7333,3690
3283,7334,3690
3284,7335,3690
3285,7336,3690
47796,91866,26603
46652,89175,26003
3286,7337,3690
3287,7338,3690
3288,7339,3690
19657,39246,10656
3289,7340,3690
3290,7341,3690
3291,7342,3690
3292,7343,3690
3293,7344,3690
3294,7345,3690
3295,7346,3690
3296,7347,3690
3297,7348,3690
3298,7349,3690
3299,7350,3690
3300,7351,3690
6597,13048,4267
5048,10439,4032
2923,6674,3663
3762,8283,3849
3975,8915,3939
3763,8284,3850
3305,7387,3761
2625,6232,3620
1104,2242,2763
2960,6739,3663
2962,6741,3663
