id,event_id,place_id
40646,47260,46761
502,679,8183
1735,2045,8614
1792,2104,5270
51462,59509,1770
1372,1638,829
1392,1658,8560
1437,1715,8573
1471,1750,8807
26334,29801,886
2361,2662,1767
1585,1871,2709
1605,1898,8614
1629,1922,8858
1937,2239,3648
2062,2354,9490
2409,2711,1767
2468,2772,1767
2525,2829,1767
2571,2876,1767
2643,2960,9941
1545,1835,825
1510,1791,839
3075,3657,839
2883,3459,10859
2264,2568,729
1936,2238,9263
2100,2382,8839
2130,2412,832
2169,2456,8561
2186,2473,8592
2613,2918,1767
2644,2958,9944
3230,3822,2602
3232,3824,11224
489,666,8183
490,667,8183
494,671,8183
21727,24551,26648
479,653,8179
512,689,8183
115,137,6706
3135,3724,11121
10,125,5971
2939,3242,8183
3044,3625,4241
3060,3641,2802
511,688,8183
3069,3650,11000
510,687,8183
509,686,8183
167,342,797
507,684,8183
505,682,8183
504,681,8183
503,680,8183
770,983,8358
501,678,8183
499,676,8183
565,756,8220
568,760,8220
569,761,8220
498,675,8183
2783,3331,840
496,673,8184
2945,3531,10922
2872,3448,6104
51464,59514,1770
2899,3475,10868
3078,3660,8643
3194,3786,11202
2909,3485,10883
2913,3491,10884
3234,3826,2086
3237,3829,11228
3238,3830,11234
2935,3516,10887
3100,3684,10887
2958,3541,1635
2959,3541,10928
2970,3551,10948
2992,3574,10887
3110,3697,11098
3013,3594,10955
3151,3742,5270
3030,3611,10728
3036,3617,6716
3040,3621,3033
3207,3799,6272
3210,3802,895
3218,3810,891
3220,3812,2714
3081,3664,11022
3222,3814,11216
3085,3668,10887
3225,3817,11217
3117,3704,8487
3130,3718,10476
2226,2529,1767
1736,2046,8614
1793,2105,9011
1373,1639,829
1393,1659,8728
1439,1717,8782
1472,1751,3368
1511,1792,8823
51672,59783,37019
1606,1899,8614
1630,1923,8705
2362,2663,1767
1919,2210,2071
1938,2240,2709
2063,2355,9491
2410,2712,1767
2414,2716,1767
2426,2728,1767
2473,2777,1767
3161,3752,11170
2926,3504,5189
68257,78114,23724
2857,3432,8557
2101,2383,8564
2131,2413,836
2170,2457,8560
2187,2474,832
2488,2792,1767
2512,2816,1767
2527,2831,1767
2553,2858,1767
2572,2877,1767
2614,2919,1767
2645,2961,4231
3098,3682,11040
3101,3685,11046
3250,3842,11250
26195,29643,14500
